tick_id,log_time,source,player_id,server_time,server_x,server_y,server_vx,server_vy,client_x,client_y,snapshot_age,is_turning,is_accelerating,speed,prev_speed,speed_delta
25,2026-07-07 15:39:45.375414,client,bullet_1_1783406385310,1783406385.3734133,-4.948484869079653,1.242095052279296,-149.48484869079653,12.420950522792959,-4.948484869079653,1.242095052279296,0.0009982585906982422,False,False,150.0,150.0,0.0
25,2026-07-07 15:39:45.386418,client,0,1783406385.3864183,0.0,0.0,0,0,0.0,0.0,0.014003276824951172,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.387414,client,1,1783406385.3864183,10.0,0.0,0,0,10.0,0.0,0.014003276824951172,False,False,0.0,0.0,0.0
25,2026-07-07 15:39:45.388414,client,bullet_1_1783406385057,1783406385.3864183,-34.98667680660307,-1.0949474408580941,-149.95558935534356,-3.649824802860314,-34.98667680660307,-1.0949474408580941,0.014003276824951172,False,False,150.0,150.0,0.0
25,2026-07-07 15:39:45.388414,client,bullet_1_1783406385310,1783406385.3864183,-4.948484869079653,1.242095052279296,-149.48484869079653,12.420950522792959,-4.948484869079653,1.242095052279296,0.014003276824951172,False,False,150.0,150.0,0.0
26,2026-07-07 15:39:45.432940,server,0,1783406385.4329402,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.432940,server,1,1783406385.4329402,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.449940,client,0,1783406385.448948,0.0,0.0,0,0,0.0,0.0,0.015007734298706055,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.449940,client,0,1783406385.448948,0.0,0.0,0,0,0.0,0.0,0.015007734298706055,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.449940,client,1,1783406385.448948,10.0,0.0,0,0,10.0,0.0,0.015007734298706055,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.450941,client,1,1783406385.448948,10.0,0.0,0,0,10.0,0.0,0.015007734298706055,False,False,0.0,0.0,0.0
26,2026-07-07 15:39:45.450941,client,bullet_1_1783406385057,1783406385.448948,-42.48445627437025,-1.2774386810011098,-149.95558935534356,-3.649824802860314,-42.48445627437025,-1.2774386810011098,0.015007734298706055,False,False,150.0,150.0,0.0
26,2026-07-07 15:39:45.450941,client,bullet_1_1783406385057,1783406385.448948,-42.48445627437025,-1.2774386810011098,-149.95558935534356,-3.649824802860314,-42.48445627437025,-1.2774386810011098,0.015007734298706055,False,False,150.0,150.0,0.0
26,2026-07-07 15:39:45.451940,client,bullet_1_1783406385310,1783406385.448948,-12.42272730361948,1.863142578418944,-149.48484869079653,12.420950522792959,-12.42272730361948,1.863142578418944,0.015007734298706055,False,False,150.0,150.0,0.0
26,2026-07-07 15:39:45.451940,client,bullet_1_1783406385310,1783406385.448948,-12.42272730361948,1.863142578418944,-149.48484869079653,12.420950522792959,-12.42272730361948,1.863142578418944,0.015007734298706055,False,False,150.0,150.0,0.0
27,2026-07-07 15:39:45.495946,server,0,1783406385.4959462,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.496943,server,1,1783406385.496943,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.499942,client,0,1783406385.4989455,0.0,0.0,0,0,0.0,0.0,0.0020024776458740234,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.500942,client,1,1783406385.4989455,10.0,0.0,0,0,10.0,0.0,0.0020024776458740234,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.500942,client,bullet_1_1783406385057,1783406385.4989455,-49.98223574213743,-1.4599299211441255,-149.95558935534356,-3.649824802860314,-49.98223574213743,-1.4599299211441255,0.0020024776458740234,False,False,150.0,150.0,0.0
27,2026-07-07 15:39:45.501942,client,bullet_1_1783406385310,1783406385.4989455,-19.896969738159306,2.484190104558592,-149.48484869079653,12.420950522792959,-19.896969738159306,2.484190104558592,0.0020024776458740234,False,False,150.0,150.0,0.0
27,2026-07-07 15:39:45.513947,client,0,1783406385.5119476,0.0,0.0,0,0,0.0,0.0,0.015004634857177734,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.514947,client,1,1783406385.5119476,10.0,0.0,0,0,10.0,0.0,0.015004634857177734,False,False,0.0,0.0,0.0
27,2026-07-07 15:39:45.515948,client,bullet_1_1783406385057,1783406385.5119476,-49.98223574213743,-1.4599299211441255,-149.95558935534356,-3.649824802860314,-49.98223574213743,-1.4599299211441255,0.015004634857177734,False,False,150.0,150.0,0.0
27,2026-07-07 15:39:45.515948,client,bullet_1_1783406385310,1783406385.5119476,-19.896969738159306,2.484190104558592,-149.48484869079653,12.420950522792959,-19.896969738159306,2.484190104558592,0.015004634857177734,False,False,150.0,150.0,0.0
28,2026-07-07 15:39:45.560464,server,0,1783406385.5604641,0.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.561472,server,1,1783406385.5614724,10.0,0.0,0,0,,,,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.565461,client,0,1783406385.5634615,0.0,0.0,0,0,0.0,0.0,0.0009989738464355469,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.565461,client,0,1783406385.5644612,0.0,0.0,0,0,0.0,0.0,0.0019986629486083984,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.567461,client,1,1783406385.5634615,10.0,0.0,0,0,10.0,0.0,0.0009989738464355469,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.567461,client,1,1783406385.5644612,10.0,0.0,0,0,10.0,0.0,0.0019986629486083984,False,False,0.0,0.0,0.0
28,2026-07-07 15:39:45.568461,client,bullet_1_1783406385057,1783406385.5634615,-57.480015209904614,-1.642421161287141,-149.95558935534356,-3.649824802860314,-57.480015209904614,-1.642421161287141,0.0009989738464355469,False,False,150.0,150.0,0.0
28,2026-07-07 15:39:45.568461,client,bullet_1_1783406385057,1783406385.5644612,-57.480015209904614,-1.642421161287141,-149.95558935534356,-3.649824802860314,-57.480015209904614,-1.642421161287141,0.0019986629486083984,False,False,150.0,150.0,0.0
