packet_id,event_type,sender,receiver,send_time,arrive_time,delay_ms,jitter_ms,lost,reordered,message
13,world_state_receive,server,client,1783406385.1209655,1783406385.1359916,0.015026092529296875,,False,False,"{""type"": ""world_state"", ""tick"": 21, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.2, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-4.995558935534357, -0.3649824802860314], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.1}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1209655, ""packet_id"": 13, ""packet_type"": ""world_state""}"
15,world_state_send,server,client,1783406385.1849847,,9.231209440306266,9.231209440306266,False,False,"{""type"": ""world_state"", ""tick"": 22, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-12.493338403301536, -0.5474737204290472], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.15000000000000002}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1849847, ""packet_id"": 15, ""packet_type"": ""world_state""}"
14,world_state_send,server,client,1783406385.1849847,,6.533564505375789,6.533564505375789,False,False,"{""type"": ""world_state"", ""tick"": 22, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-12.493338403301536, -0.5474737204290472], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.15000000000000002}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1849847, ""packet_id"": 14, ""packet_type"": ""world_state""}"
15,world_state_receive,server,client,1783406385.1849847,1783406385.1989875,0.014002799987792969,,False,False,"{""type"": ""world_state"", ""tick"": 22, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-12.493338403301536, -0.5474737204290472], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.15000000000000002}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1849847, ""packet_id"": 15, ""packet_type"": ""world_state""}"
14,world_state_receive,server,client,1783406385.1849847,1783406385.1989875,0.014002799987792969,,False,False,"{""type"": ""world_state"", ""tick"": 22, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.25, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-12.493338403301536, -0.5474737204290472], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.15000000000000002}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.1849847, ""packet_id"": 14, ""packet_type"": ""world_state""}"
17,world_state_send,server,client,1783406385.246165,,0.0,-3.8135183138405786,False,False,"{""type"": ""world_state"", ""tick"": 23, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-19.991117871068713, -0.7299649605720628], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.2}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.246165, ""packet_id"": 17, ""packet_type"": ""world_state""}"
16,world_state_send,server,client,1783406385.246165,,0.0,-3.3704302656497394,False,False,"{""type"": ""world_state"", ""tick"": 23, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-19.991117871068713, -0.7299649605720628], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.2}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.246165, ""packet_id"": 16, ""packet_type"": ""world_state""}"
17,world_state_receive,server,client,1783406385.246165,1783406385.247165,0.0009999275207519531,,False,False,"{""type"": ""world_state"", ""tick"": 23, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-19.991117871068713, -0.7299649605720628], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.2}}, ""player_id"": 1, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.246165, ""packet_id"": 17, ""packet_type"": ""world_state""}"
16,world_state_receive,server,client,1783406385.246165,1783406385.247165,0.0009999275207519531,,False,False,"{""type"": ""world_state"", ""tick"": 23, ""state"": {""0"": {""position"": [0.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 90}, ""1"": {""position"": [10.0, 0.0], ""velocity"": [0, 0], ""damage"": 0, ""creattime"": 0.3, ""health"": 100}, ""bullet_1_1783406385057"": {""position"": [-19.991117871068713, -0.7299649605720628], ""velocity"": [-149.95558935534356, -3.649824802860314], ""damage"": 10, ""creattime"": 0.2}}, ""player_id"": 0, ""dead_reckoning"": false, ""reconciliation"": false, ""latency_ms"": 0.0, ""server_send_time"": 1783406385.246165, ""packet_id"": 16, ""packet_type"": ""world_state""}"
10,input_send,client,server,1783406385.251164,,0.0,-8.722365676964014,False,False,"{""action"": ""fire"", ""damage"": 10, ""bullet_speed"": 150, ""angle"": 175.25010755222667, ""client_send_time"": 1783406385.251164, ""target_id"": ""0"", ""target_position"": [0.0, 0.0], ""packet_id"": 10, ""packet_type"": ""input""}"
